catalog,rule,alpha,c_FN,P_false_RESPONSE,P_false_ALERT,P_ESCALATE,P_empty,expected_cost
comcat_global_m4,argmax,0.125,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,argmax,0.125,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,argmax,0.125,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,escalate,0.13,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,escalate,0.13,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,escalate,0.13,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,argmax,0.13,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,argmax,0.13,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,argmax,0.13,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,escalate,0.135,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,escalate,0.135,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,escalate,0.135,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,argmax,0.135,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,argmax,0.135,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,argmax,0.135,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,escalate,0.14,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,escalate,0.14,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,escalate,0.14,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,argmax,0.14,5,0.0637,0.045,0.0378,0.0,0.4013
comcat_global_m4,argmax,0.14,10,0.0637,0.045,0.0378,0.0,0.7197
comcat_global_m4,argmax,0.14,50,0.0637,0.045,0.0378,0.0,3.2675
comcat_global_m4,escalate,0.145,5,0.0734,0.045,0.0,0.0,0.4119
comcat_global_m4,escalate,0.145,10,0.0734,0.045,0.0,0.0,0.7788
comcat_global_m4,escalate,0.145,50,0.0734,0.045,0.0,0.0,3.7139
comcat_global_m4,argmax,0.145,5,0.0734,0.045,0.0,0.0,0.4119
comcat_global_m4,argmax,0.145,10,0.0734,0.045,0.0,0.0,0.7787
comcat_global_m4,argmax,0.145,50,0.0734,0.045,0.0,0.0,3.7138
comcat_global_m4,escalate,0.15,5,0.0734,0.0395,0.008,0.008,0.4143
comcat_global_m4,escalate,0.15,10,0.0734,0.0395,0.008,0.008,0.7812
comcat_global_m4,escalate,0.15,50,0.0734,0.0395,0.008,0.008,3.7163
comcat_global_m4,argmax,0.15,5,0.0758,0.0395,0.0,0.008,0.4187
comcat_global_m4,argmax,0.15,10,0.0758,0.0395,0.0,0.008,0.7978
comcat_global_m4,argmax,0.15,50,0.0758,0.0395,0.0,0.008,3.8312
comcat_global_m4,escalate,0.155,5,0.0734,0.0395,0.008,0.008,0.4143
comcat_global_m4,escalate,0.155,10,0.0734,0.0395,0.008,0.008,0.7812
comcat_global_m4,escalate,0.155,50,0.0734,0.0395,0.008,0.008,3.7163
comcat_global_m4,argmax,0.155,5,0.0758,0.0395,0.0,0.008,0.4187
comcat_global_m4,argmax,0.155,10,0.0758,0.0395,0.0,0.008,0.7978
comcat_global_m4,argmax,0.155,50,0.0758,0.0395,0.0,0.008,3.8312
comcat_global_m4,escalate,0.16,5,0.0734,0.0274,0.0254,0.0254,0.4198
comcat_global_m4,escalate,0.16,10,0.0734,0.0274,0.0254,0.0254,0.7867
comcat_global_m4,escalate,0.16,50,0.0734,0.0274,0.0254,0.0254,3.7217
comcat_global_m4,argmax,0.16,5,0.0813,0.0274,0.0,0.0254,0.4338
comcat_global_m4,argmax,0.16,10,0.0813,0.0274,0.0,0.0254,0.8401
comcat_global_m4,argmax,0.16,50,0.0813,0.0274,0.0,0.0254,4.0906
comcat_global_m4,escalate,0.165,5,0.0734,0.0274,0.0254,0.0254,0.4198
comcat_global_m4,escalate,0.165,10,0.0734,0.0274,0.0254,0.0254,0.7867
comcat_global_m4,escalate,0.165,50,0.0734,0.0274,0.0254,0.0254,3.7217
comcat_global_m4,argmax,0.165,5,0.0813,0.0274,0.0,0.0254,0.4338
comcat_global_m4,argmax,0.165,10,0.0813,0.0274,0.0,0.0254,0.8401
comcat_global_m4,argmax,0.165,50,0.0813,0.0274,0.0,0.0254,4.0906
comcat_global_m4,escalate,0.17,5,0.0734,0.0183,0.0393,0.0393,0.4245
comcat_global_m4,escalate,0.17,10,0.0734,0.0183,0.0393,0.0393,0.7914
comcat_global_m4,escalate,0.17,50,0.0734,0.0183,0.0393,0.0393,3.7264
comcat_global_m4,argmax,0.17,5,0.086,0.0183,0.0,0.0393,0.4481
comcat_global_m4,argmax,0.17,10,0.086,0.0183,0.0,0.0393,0.8779
comcat_global_m4,argmax,0.17,50,0.086,0.0183,0.0,0.0393,4.3162
comcat_global_m4,escalate,0.175,5,0.0734,0.0118,0.0503,0.0503,0.4289
comcat_global_m4,escalate,0.175,10,0.0734,0.0118,0.0503,0.0503,0.7958
comcat_global_m4,escalate,0.175,50,0.0734,0.0118,0.0503,0.0503,3.7309
comcat_global_m4,argmax,0.175,5,0.0904,0.0118,0.0,0.0503,0.4639
comcat_global_m4,argmax,0.175,10,0.0904,0.0118,0.0,0.0503,0.9161
comcat_global_m4,argmax,0.175,50,0.0904,0.0118,0.0,0.0503,4.5335
comcat_global_m4,escalate,0.18,5,0.0734,0.0108,0.052,0.052,0.4297
comcat_global_m4,escalate,0.18,10,0.0734,0.0108,0.052,0.052,0.7966
comcat_global_m4,escalate,0.18,50,0.0734,0.0108,0.052,0.052,3.7317
comcat_global_m4,argmax,0.18,5,0.0912,0.0108,0.0,0.052,0.467
comcat_global_m4,argmax,0.18,10,0.0912,0.0108,0.0,0.052,0.9231
comcat_global_m4,argmax,0.18,50,0.0912,0.0108,0.0,0.052,4.5723
comcat_global_m4,escalate,0.185,5,0.0637,0.0039,0.1023,0.1023,0.4247
comcat_global_m4,escalate,0.185,10,0.0637,0.0039,0.1023,0.1023,0.7431
comcat_global_m4,escalate,0.185,50,0.0637,0.0039,0.1023,0.1023,3.2908
comcat_global_m4,argmax,0.185,5,0.0968,0.0039,0.0,0.1023,0.4878
comcat_global_m4,argmax,0.185,10,0.0968,0.0039,0.0,0.1023,0.9716
comcat_global_m4,argmax,0.185,50,0.0968,0.0039,0.0,0.1023,4.8424
comcat_global_m4,escalate,0.19,5,0.0637,0.0039,0.1023,0.1023,0.4247
comcat_global_m4,escalate,0.19,10,0.0637,0.0039,0.1023,0.1023,0.7431
comcat_global_m4,escalate,0.19,50,0.0637,0.0039,0.1023,0.1023,3.2908
comcat_global_m4,argmax,0.19,5,0.0968,0.0039,0.0,0.1023,0.4878
comcat_global_m4,argmax,0.19,10,0.0968,0.0039,0.0,0.1023,0.9716
comcat_global_m4,argmax,0.19,50,0.0968,0.0039,0.0,0.1023,4.8424
comcat_global_m4,escalate,0.195,5,0.0637,0.0002,0.1129,0.1129,0.4315
comcat_global_m4,escalate,0.195,10,0.0637,0.0002,0.1129,0.1129,0.75
comcat_global_m4,escalate,0.195,50,0.0637,0.0002,0.1129,0.1129,3.2977
comcat_global_m4,argmax,0.195,5,0.0968,0.0039,0.0,0.1129,0.4878
comcat_global_m4,argmax,0.195,10,0.0968,0.0039,0.0,0.1129,0.9716
comcat_global_m4,argmax,0.195,50,0.0968,0.0039,0.0,0.1129,4.8424
comcat_global_m4,escalate,0.2,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.2,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.2,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.2,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.2,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.2,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.205,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.205,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.205,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.205,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.205,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.205,50,0.0968,0.0039,0.0,0.1133,4.8424
comcat_global_m4,escalate,0.21,5,0.0637,0.0,0.1133,0.1133,0.4318
comcat_global_m4,escalate,0.21,10,0.0637,0.0,0.1133,0.1133,0.7502
comcat_global_m4,escalate,0.21,50,0.0637,0.0,0.1133,0.1133,3.2979
comcat_global_m4,argmax,0.21,5,0.0968,0.0039,0.0,0.1133,0.4878
comcat_global_m4,argmax,0.21,10,0.0968,0.0039,0.0,0.1133,0.9716
comcat_global_m4,argmax,0.21,50,0.0968,0.0039,0.0,0.1133,4.8424
